28215*2^20070-1 is not prime.  LLR Res64: F585035E768FBA7E  Time : 371.265 ms.
28635*2^20070-1 is not prime.  LLR Res64: 6434604DF1798607  Time : 370.401 ms.
17295*2^20071-1 is not prime.  LLR Res64: 1E461EFD004F5036  Time : 379.474 ms.
28635*2^20071-1 is not prime.  LLR Res64: F87C2F4D80BA6DF6  Time : 387.657 ms.
29445*2^20071-1 is not prime.  LLR Res64: 2996750DB9DF39C6  Time : 379.448 ms.
22785*2^20072-1 is not prime.  LLR Res64: C10D1BB7677F84C9  Time : 388.588 ms.
26829*2^20072-1 is not prime.  LLR Res64: CF149423E39A3309  Time : 389.212 ms.
28635*2^20072-1 is not prime.  LLR Res64: 47400EC706F147DC  Time : 384.956 ms.
27615*2^20073-1 is not prime.  LLR Res64: D2737007A94D1A4E  Time : 389.540 ms.
20625*2^20074-1 is not prime.  LLR Res64: 05D539C7A119B41C  Time : 390.510 ms.
23985*2^20074-1 is not prime.  LLR Res64: AA66B7E4FA71ED89  Time : 376.514 ms.
25905*2^20074-1 is not prime.  LLR Res64: 64EF3275385FAED7  Time : 370.853 ms.
28635*2^20074-1 is not prime.  LLR Res64: 5E917666180594B5  Time : 371.221 ms.
29025*2^20074-1 is not prime.  LLR Res64: 977A2C2CBB3D3838  Time : 388.472 ms.
20625*2^20075-1 is not prime.  LLR Res64: 9DC8D76A33BEFF56  Time : 389.160 ms.
21525*2^20075-1 is not prime.  LLR Res64: C2A5309BF29CE7A8  Time : 385.490 ms.
25905*2^20075-1 is not prime.  LLR Res64: 2296D4BCB60ECC89  Time : 386.786 ms.
18525*2^20076-1 is not prime.  LLR Res64: AAE4580C58382CE4  Time : 388.876 ms.
22095*2^20076-1 is not prime.  LLR Res64: 0A91DD475685E5D0  Time : 387.118 ms.
26829*2^20076-1 is prime! (6048 decimal digits)  Time : 387.335 ms.
16485*2^20077-1 is not prime.  LLR Res64: 69078696F1FF6F4F  Time : 389.818 ms.
16665*2^20077-1 is not prime.  LLR Res64: 0C05AE97697C5237  Time : 379.865 ms.
19635*2^20077-1 is not prime.  LLR Res64: 9C1B6991664514BA  Time : 369.497 ms.
21285*2^20077-1 is not prime.  LLR Res64: F639006E589019F8  Time : 381.715 ms.
21885*2^20077-1 is not prime.  LLR Res64: 479A7FBF8DE15CBF  Time : 368.304 ms.
28215*2^20077-1 is not prime.  LLR Res64: 87852CBD9DED5093  Time : 371.179 ms.
28635*2^20077-1 is not prime.  LLR Res64: 040FEBCEC0798C40  Time : 380.566 ms.
29925*2^20077-1 is not prime.  LLR Res64: 286DFD4D71D0550A  Time : 386.658 ms.
16887*2^20078-1 is not prime.  LLR Res64: 6C4954C35F0D695B  Time : 388.338 ms.
29445*2^20078-1 is not prime.  LLR Res64: C7A33B1CB58F6701  Time : 387.247 ms.
29925*2^20078-1 is not prime.  LLR Res64: 7400A141755F1205  Time : 387.367 ms.
16485*2^20079-1 is not prime.  LLR Res64: 77FC9319E955A4C4  Time : 388.434 ms.
21525*2^20079-1 is not prime.  LLR Res64: BD5253BC8AFF481C  Time : 385.448 ms.
22095*2^20079-1 is not prime.  LLR Res64: 08AB805CF9FB707D  Time : 386.925 ms.
22701*2^20079-1 is not prime.  LLR Res64: CAB4CE2843FFB7F0  Time : 382.747 ms.
26829*2^20079-1 is not prime.  LLR Res64: 2D6D962512FB3B8C  Time : 391.713 ms.
29685*2^20079-1 is not prime.  LLR Res64: 85BE85B4CEDF46F6  Time : 386.878 ms.
17295*2^20080-1 is not prime.  LLR Res64: F1A08AB862672A40  Time : 386.858 ms.
20625*2^20080-1 is not prime.  LLR Res64: 65720B0BDBF7829C  Time : 385.993 ms.
23985*2^20081-1 is not prime.  LLR Res64: E17BEB6B75521413  Time : 387.004 ms.
28665*2^20081-1 is not prime.  LLR Res64: 51AE7BB58FB09D17  Time : 376.050 ms.
29685*2^20081-1 is not prime.  LLR Res64: 1A89FCF452FF72E8  Time : 381.476 ms.
25077*2^20082-1 is not prime.  LLR Res64: 0037CF80C43369E3  Time : 388.064 ms.
20145*2^20083-1 is not prime.  LLR Res64: 6784376A835C010B  Time : 387.936 ms.
22365*2^20083-1 is not prime.  LLR Res64: 4F63CFAB7B99D1E1  Time : 372.391 ms.
28605*2^20083-1 is not prime.  LLR Res64: 92A5558550C29676  Time : 370.671 ms.
22095*2^20084-1 is not prime.  LLR Res64: 478B4DE3A181D97F  Time : 371.659 ms.
25905*2^20084-1 is not prime.  LLR Res64: E9E7A82626D9DCE2  Time : 378.386 ms.
25077*2^20085-1 is not prime.  LLR Res64: 87178D34FC5B7AC5  Time : 388.517 ms.
29025*2^20085-1 is not prime.  LLR Res64: FF6FF2247E2B593A  Time : 389.368 ms.
29445*2^20085-1 is not prime.  LLR Res64: A928AA925C41CF48  Time : 386.359 ms.
17295*2^20086-1 is not prime.  LLR Res64: BD51646D65566367  Time : 387.731 ms.
19635*2^20086-1 is not prime.  LLR Res64: 6F25E6A26C9287F6  Time : 385.928 ms.
