22701*2^40081-1 is not prime.  LLR Res64: 3FC2024E93932901  Time : 1.466 sec.
22785*2^40081-1 is not prime.  LLR Res64: 62EF570790245473  Time : 1.458 sec.
25077*2^40081-1 is not prime.  LLR Res64: 5DBB15022F6DFB7F  Time : 1.469 sec.
26829*2^40081-1 is not prime.  LLR Res64: 7F98A1961D6FD6F0  Time : 1.476 sec.
28605*2^40081-1 is not prime.  LLR Res64: F7577F490BF41995  Time : 1.476 sec.
16485*2^40082-1 is not prime.  LLR Res64: 107EAA7A8848ED27  Time : 1.475 sec.
22365*2^40082-1 is not prime.  LLR Res64: BF490EF2A6D5A52D  Time : 1.470 sec.
21885*2^40083-1 is not prime.  LLR Res64: 3A05D706EAF51DF6  Time : 1.478 sec.
23805*2^40083-1 is not prime.  LLR Res64: 0C21B2E04DE6A21C  Time : 1.474 sec.
16665*2^40084-1 is not prime.  LLR Res64: E3423E1AC3674CEB  Time : 1.483 sec.
